,SourceFile,Directory,FileName,Rings_visible,Rings_comb,Flag,comments,Molt,Score,Date
11,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob/IMG_4865.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob,IMG_4865.JPG,1,RLBY_F,1,,1,5,02/08/2021
12,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob/IMG_5022.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob,IMG_5022.JPG,1,RWBB,0,,1,6,02/08/2021
13,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob/IMG_4548.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob,IMG_4548.JPG,1,RWBL,0,,0,NA,02/08/2021
14,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob/IMG_4588.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob,IMG_4588.JPG,1,RYLR,0,,0,NA,02/08/2021
15,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5660.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",IMG_5660.JPG,1,RBBR,0,,0,NA,06/08/2021
16,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5651.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",IMG_5651.JPG,1,RGGL,0,,0,NA,06/08/2021
17,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5665.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",IMG_5665.JPG,1,RGGL,0,,0,NA,06/08/2021
18,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5675.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",IMG_5675.JPG,1,RGGL,0,MATING,0,NA,06/08/2021
19,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5692.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",IMG_5692.JPG,1,RBBR,0,MATING,0,NA,06/08/2021
20,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5494.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",IMG_5494.JPG,1,RBLY_F,1,,1,3,06/08/2021
21,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5501.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",IMG_5501.JPG,1,RWLG,0,,1,5,06/08/2021
22,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5502.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",IMG_5502.JPG,1,RWLG,0,,1,5,06/08/2021
23,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5509.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",IMG_5509.JPG,1,RWWB,0,,1,5,06/08/2021
24,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5527.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",IMG_5527.JPG,1,RLYL_F,1,,1,5,06/08/2021
25,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5561.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",IMG_5561.JPG,1,RWWB,0,,1,5,06/08/2021
26,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5563.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",IMG_5563.JPG,1,RWLG,0,,1,5,06/08/2021
27,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5572.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",IMG_5572.JPG,1,RBRL,0,RLRB?/RBRL?,1,4,06/08/2021
28,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5595.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",IMG_5595.JPG,1,RWWB,0,,1,5,06/08/2021
29,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5624.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",IMG_5624.JPG,1,RWBB,0,,1,6,06/08/2021
30,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5650.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",IMG_5650.JPG,1,RGGL,0,,0,NA,06/08/2021
31,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5666.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",IMG_5666.JPG,1,RBBR,0,,1,7,06/08/2021
32,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5741.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",IMG_5741.JPG,1,RRLR_F,1,,1,6,06/08/2021
33,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5747.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",IMG_5747.JPG,1,RWWB,0,,1,5,06/08/2021
34,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5752.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",IMG_5752.JPG,1,RLYL_F,1,,1,5,06/08/2021
35,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5757.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",IMG_5757.JPG,1,RRLR_F,1,,1,6,06/08/2021
36,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5766.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",IMG_5766.JPG,1,RRLR_F,1,,1,6,06/08/2021
37,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5767.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",IMG_5767.JPG,1,RRLR_F,1,,1,6,06/08/2021
38,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5633.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",IMG_5633.JPG,1,RWLG,0,,0,NA,06/08/2021
39,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5511.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",IMG_5511.JPG,1,RWWB,0,,0,NA,06/08/2021
40,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_08 RBBR and Ms Xmas/IMG_6174.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_08 RBBR and Ms Xmas,IMG_6174.JPG,1,RBBR,0,,1,7,08/08/2021
41,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_08 RBBR and Ms Xmas/IMG_6184.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_08 RBBR and Ms Xmas,IMG_6184.JPG,1,RGGL,0,,1,5,08/08/2021
42,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_08 RBBR and Ms Xmas/IMG_6217.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_08 RBBR and Ms Xmas,IMG_6217.JPG,1,RGGL,0,,0,NA,08/08/2021
43,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_6360.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,IMG_6360.JPG,1,RGGL,0,,1,6,10/08/2021
44,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_6363.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,IMG_6363.JPG,1,RGGL,0,,1,6,10/08/2021
45,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_6366.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,IMG_6366.JPG,1,RBBR,0,,1,7,10/08/2021
46,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_6433.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,IMG_6433.JPG,1,RLBY_F,1,,1,5,10/08/2021
47,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_6559.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,IMG_6559.JPG,1,RLBY_F,1,,1,5,10/08/2021
48,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_6661.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,IMG_6661.JPG,1,RBBR,0,,1,7,10/08/2021
49,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_6755.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,IMG_6755.JPG,1,RLBY_F,1,,1,5,10/08/2021
50,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_6760.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,IMG_6760.JPG,1,RLBY_F,1,,1,5,10/08/2021
51,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_6797.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,IMG_6797.JPG,1,RBLY_F,1,,1,4,10/08/2021
52,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_6839.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,IMG_6839.JPG,1,RWWB,0,,1,5,10/08/2021
53,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_6847.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,IMG_6847.JPG,1,RWWB,0,,1,5,10/08/2021
54,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_6943.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,IMG_6943.JPG,1,RWWB,0,,1,5,10/08/2021
55,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_6960.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,IMG_6960.JPG,1,RWWB,0,,1,5,10/08/2021
56,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_6994.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,IMG_6994.JPG,1,RYLR,0,,1,4,10/08/2021
57,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_7001.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,IMG_7001.JPG,1,RYLR,0,,1,4,10/08/2021
58,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_7015.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,IMG_7015.JPG,1,RBBL,0,,1,3,10/08/2021
59,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_7018.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,IMG_7018.JPG,1,RBBL,0,,1,3,10/08/2021
60,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_7105.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,IMG_7105.JPG,1,RLBY_F,1,,1,5,10/08/2021
61,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_7108.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,IMG_7108.JPG,1,RGGL,0,,0,NA,10/08/2021
62,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_6835.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,IMG_6835.JPG,1,RWWB,0,,0,NA,10/08/2021
63,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_11 dot check with Carol/IMG_7165.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_11 dot check with Carol,IMG_7165.JPG,1,RBLY_F,1,,1,4,11/08/2021
64,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_13 Pm dot ob/IMG_7271.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_13 Pm dot ob,IMG_7271.JPG,1,RWLG,0,,1,5,13/08/2021
65,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_13 Pm dot ob/IMG_7284.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_13 Pm dot ob,IMG_7284.JPG,1,RWLG,0,,1,5,13/08/2021
66,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_13 Pm dot ob/IMG_7303.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_13 Pm dot ob,IMG_7303.JPG,1,RWLG,0,,1,5,13/08/2021
67,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_13 Pm dot ob/IMG_7371.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_13 Pm dot ob,IMG_7371.JPG,1,RBBR,0,,1,7,13/08/2021
68,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_16 Dot ob/IMG_7459.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_16 Dot ob,IMG_7459.JPG,1,RWWB,0,,1,5,16/08/2021
69,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_16 Dot ob/IMG_7479.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_16 Dot ob,IMG_7479.JPG,1,RWWB,0,,1,5,16/08/2021
70,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_16 Dot ob/IMG_7494.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_16 Dot ob,IMG_7494.JPG,1,RYLR,0,,1,4,16/08/2021
71,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_16 Dot ob/IMG_7514.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_16 Dot ob,IMG_7514.JPG,1,RWBL,0,,1,5,16/08/2021
72,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_16 Dot ob/IMG_7523.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_16 Dot ob,IMG_7523.JPG,1,RWBL,0,,1,5,16/08/2021
73,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_16 Dot ob/IMG_7534.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_16 Dot ob,IMG_7534.JPG,1,RRBB,0,,1,4,16/08/2021
74,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_16 Dot ob/IMG_7541.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_16 Dot ob,IMG_7541.JPG,1,RWBL,0,,1,5,16/08/2021
75,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0782.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,IMG_0782.JPG,1,RLYL_F,1,"METAL ON LEFT TARSUS, FLAG ON RIGHT TIBIA",1,5,01/10/2021
76,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0789.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,IMG_0789.JPG,1,RBBR,0,,1,6,01/10/2021
77,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0799.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,IMG_0799.JPG,1,RBLY_F,1,,1,4,01/10/2021
78,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0806.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,IMG_0806.JPG,1,RWWB,0,,1,5,01/10/2021
79,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0814.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,IMG_0814.JPG,1,RLYL_F,1,"METAL ON LEFT TARSUS, FLAG ON RIGHT TIBIA",1,5,01/10/2021
80,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0823.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,IMG_0823.JPG,1,RLYL_F,1,"METAL ON LEFT TARSUS, FLAG ON RIGHT TIBIA",1,5,01/10/2021
81,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0827.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,IMG_0827.JPG,1,RWLG,0,,1,5,01/10/2021
82,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0837.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,IMG_0837.JPG,1,RBBL,0,,1,3,01/10/2021
83,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0849.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,IMG_0849.JPG,1,RYLR,0,,1,4,01/10/2021
84,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0855.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,IMG_0855.JPG,1,RBBL,0,,1,3,01/10/2021
85,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0880.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,IMG_0880.JPG,1,RBBL,0,,1,3,01/10/2021
86,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0896_1.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,IMG_0896_1.JPG,1,RWBY,0,,1,5,01/10/2021
87,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0901_1.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,IMG_0901_1.JPG,1,RWBY,0,,1,5,01/10/2021
88,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0906.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,IMG_0906.JPG,1,RBBL,0,,1,3,01/10/2021
89,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0919_1.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,IMG_0919_1.JPG,1,RWBL,0,,0,NA,01/10/2021
90,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0927.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,IMG_0927.JPG,1,RBBY,0,,1,4,01/10/2021
91,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0786.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,IMG_0786.JPG,1,RLBY_F,1,,0,NA,01/10/2021
92,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0794.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,IMG_0794.JPG,1,RLBY_F,1,,0,NA,01/10/2021
93,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_04 Hatch RRRR/IMG_1425.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_04 Hatch RRRR,IMG_1425.JPG,1,RRRR,0,,1,5,04/10/2021
94,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_04 Hatch RRRR/IMG_1733.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_04 Hatch RRRR,IMG_1733.JPG,1,RBRY,0,,1,5,04/10/2021
95,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_04 Hatch RRRR/IMG_1756.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_04 Hatch RRRR,IMG_1756.JPG,1,RBRY,0,,1,5,04/10/2021
96,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_05 Hatch Nest 14/IMG_2166.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_05 Hatch Nest 14,IMG_2166.JPG,1,RBBY,0,,0,NA,05/10/2021
97,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_05 Hatch Nest 14/IMG_1989.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_05 Hatch Nest 14,IMG_1989.JPG,1,RRYY_F,1,,1,5,05/10/2021
98,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_05 Hatch Nest 14/IMG_2016.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_05 Hatch Nest 14,IMG_2016.JPG,1,RRYY_F,1,,1,5,05/10/2021
99,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_05 Hatch Nest 14/IMG_2031.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_05 Hatch Nest 14,IMG_2031.JPG,1,RROO,0,,1,5,05/10/2021
